title_id,title,genre,authors,weekdays,length,subscribers,rating,views,likes,status,daily_pass,synopsis
1513,Acception,DRAMA,Colourbee,TUESDAY,208,843510,9.01,144131412,12704477,ONGOING,False,"With his rainbow-colored hair and love of all things fashion, Arcus is anything BUT your average teenager.  He’s an upbeat independent thinker, proud fashionista, and like the rest of us, is just looking for a few friends to call his own.  
Acception may be Arcus’ story – but it’s all OUR stories too - and it is for anyone who’s ever struggled to fit in, find love, or thought that High School was pretty much the worst thing ever invented."
1512,Trailer Park Warlock,COMEDY,Matthew J. Rainwater,FRIDAY,121,100290,9.32,5670839,679879,HIATUS,False,"Jake Baker, the working class warlock, struggles to make ends meet. But with the help of his friends and some down-home DIY magick, he might just keep chaos at bay, and pay his lot fees too..."
1499,Castle Swimmer,FANTASY,Wendy Lian Martin,SUNDAY,137,2472414,9.84,229166722,19224070,HIATUS,False,"What happens when your entire life is ruled by a prophecy – your future foretold by people you’ve never met, who died long before you were born.  Such is the story of two young sea creatures.  One believed to be a guiding light for his people, a Beacon who will lead them to a bright, prosperous future.  The other is a teenage prince for who’s destiny is to KILL the Beacon so that HIS own people might thrive.  When both reject the course set for them, it leads to a raucous adventure as big and unpredictable as the ocean itself – and a romance that nobody could have predicted."
1498,Love Advice from the Great Duke of Hell,COMEDY,unfins,FRIDAY,125,1264701,9.82,112353839,11334290,HIATUS,False,"The girl of your dreams barely knows you exist. Your friends can’t help. Your family is clueless. So where do you turn for love advice? Who can provide you with that essential assistance for the lovelorn?  If you’re average everyday teenager Paul, you summon a powerful demon from deep in the recesses of Hell and frankly, hope for the best.  "
1496,Pound,ACTION,"Tony Karnowski,Orlando Caicedo",TUESDAY,9,96911,9.11,3637088,352748,COMPLETED,True,"Welcome to the World Fighting League – a violent pastime popular with sports fans who have grown bored with the predictability of baseball, basketball and even football (!).  Imagine the most brutal fighters in the world each sporting destructive superpowers, and overseen by an ethically questionable enterprise that values profit over fighter safety.   The fighters put their lives on the line for fame and fortune – the audience laps it up – and the dark side gets even richer.  It’s a dirty business that works…that is until a young warrior comes along who’s fighting to save the life of his brother – and is willing to bring down the system to do it."
1494,The Croaking,FANTASY,echorise,SATURDAY,164,606351,9.78,50606812,6165675,ONGOING,False,"The Roost - the world’s most prestigious military academy - has never accepted a Crow into its ranks. Until now. However, the conditions surrounding Scra’s acceptance are shrouded in conspiracy, and his new roommate Ky won’t rest until he finds out just where he goes every night. Between flight tests, classes, and Murders, Scra, Ky and Ree must band together to uncover the truth about their utopia and the whispers of a superweapon - “The Croaking” - that are seeping from the cracks."
1490,Blood-Ink,ACTION,Lupicut,SUNDAY,116,644252,9.67,49210643,4493537,HIATUS,False,"In the Republic of Terragua, being an assassin is not only legal, but quite profitable if you play your cards right. It’s as simple as accepting a Blood-Ink, taking out the target, and getting paid. As long as you follow the rules and pay your taxes on time, there shouldn't be any problem at all. At least, that's what Maya thought until she met Rama, an unlicensed assassin with a thirst for vengeance…"
1489,LUFF,ROMANCE,Arechan,TUESDAY,9,1226984,9.27,92535431,9153604,COMPLETED,True,"Tired of dating apps that feel like they’re in control of your love life?  Then you better brace yourself for the not-too-distant future of LUFF, where a large worldwide conglomerate has created the ultimate romance-matchmaking-app.  How powerful is LUFF?  It just may determine every single aspect of your life."
1483,Urban Animal,SUPER_HERO,"Justin Jordan,John Amor",SATURDAY,119,517358,9.69,32218744,2707489,HIATUS,False,"Meet Joe Gomez.  He’s got high school on lock – good grades, a cool band, and girls digging his vibe. But just when he’s got the world figured out, he goes and turns into a saber-toothed tiger.  A shape-shifting nature spirit known as a Chimera, to be specific.  Now Joe needs every single one of his new powers to help save the human race – whether he wants to or not."
1481,Alice Elise,FANTASY,Nicky Soh,SATURDAY,24,60969,8.96,1300917,133882,COMPLETED,False,"On a visit to her grandparents' home, Alice falls through a mysterious door into Hell. In order to return to the world of the living, Alice must race against time to get to the center of Hell to return home.  However, time may not be the only thing Alice is up against..."
1480,Seed,SF,Said P.,SUNDAY,113,544402,9.7,26690705,2966630,ONGOING,False,"Welcome to the future – where our world has become an exercise in contradictions. We are more connected than ever but alone. Healthier than ever but sick. Safer than ever but ultimately vulnerable. Seed is a story for these future times.  Where the relationship between a girl and an AI system that begins simply, quickly complicates things for the entire world."
1475,Metaphorical HER,DRAMA,"James Maddox,David Stoll",SATURDAY,45,59141,8.96,1277072,182298,COMPLETED,False,"Humiliated and exiled, a poet builds an underground following within the ravenous rock scene through her enlightening poetry. Now, Laney and her friends fight against the white collar criminals who threaten their careers, all within a spectacle of visual metaphors."
1471,Ghost Wife,ROMANCE,Sejung,"MONDAY,SATURDAY",10,1348300,9.73,137512326,10424661,COMPLETED,True,"Liz is a normal teenage girl who can see monsters... that want to eat her. The only person who can save her is a demon with a creepy smile and an appetite for live cats. But first, she has to become his fiancé!"
1468,SubZero,ROMANCE,Junepurrr,MONDAY,144,2833869,9.78,316861119,21342982,ONGOING,False,"What would you sacrifice to save your family?  How far would you go to protect your people? For Clove, the last princess of a near-extinct Dragon clan, the answer is the unthinkable:  MARRY your greatest sworn enemy in an effort to bring peace to your land."
1467,Freaking Romance,ROMANCE,Snailords,SUNDAY,16,3276152,9.76,274449333,20569110,COMPLETED,True,"A sexy supernatural story about being out on your own, finding your dream apartment and discovering that your new place is haunted by a handsome spectral stranger from another dimension.  Sure, HE can’t see you and YOU can’t touch him, but who said every relationship starts out perfectly?"
